*
	4	STATUS	0	1	3	4	5	19	29	40	49
*	record	OrderNo	Type	Key	Name	pStation	pStates	pALARM_GROUP	pConfiguredAORGroup	ConfigNormalState
	80	80	1	'01001056'	'GRE03A_CHK_RTU'	1	208	1	1	1
	81	81	1	'01001057'	'GRE03B_PRI_RTU'	1	208	1	1	1
	82	82	1	'01001058'	'GRE03B_CHK_RTU'	1	208	1	1	1
	83	83	1	'01001059'	'GRE04A_PRI_RTU'	1	208	1	1	1
	84	84	1	'01001060'	'GRE04A_CHK_RTU'	1	208	1	1	1
	85	85	1	'01001061'	'GRE04B_PRI_RTU'	1	208	1	1	1
	86	86	1	'01001062'	'GRE04B_CHK_RTU'	1	208	1	1	1
	87	87	1	'01001063'	'LAU03_PRI_RTU'	1	208	1	1	1
	88	88	1	'01001064'	'LAU03_CHK_RTU'	1	208	1	1	1
	89	89	1	'01001065'	'LAU04A_PRI_RTU'	1	208	1	1	1
	90	90	1	'01001066'	'LAU04A_CHK_RTU'	1	208	1	1	1
	91	91	1	'01001067'	'LAU04B_PRI_RTU'	1	208	1	1	1
	92	92	1	'01001068'	'LAU04B_CHK_RTU'	1	208	1	1	1
	93	93	1	'01001069'	'NEW02_PRI_RTU'	1	208	1	1	1
	94	94	1	'01001070'	'NEW02_CHK_RTU'	1	208	1	1	1
	95	95	1	'01001071'	'NEW03_PRI_RTU'	1	208	1	1	1
	96	96	1	'01001072'	'NEW03_CHK_RTU'	1	208	1	1	1
	97	97	1	'01001073'	'NEW04_PRI_RTU'	1	208	1	1	1
	98	98	1	'01001074'	'NEW04_CHK_RTU'	1	208	1	1	1
	99	99	1	'01001075'	'ROC10_PRI_RTU'	1	208	1	1	1
	100	100	1	'01001076'	'ROC10_CHK_RTU'	1	208	1	1	1
	101	101	1	'01001077'	'ROC11_PRI_RTU'	1	208	1	1	1
	102	102	1	'01001078'	'ROC11_CHK_RTU'	1	208	1	1	1
	103	103	1	'01001079'	'PMPAGEN_RTU_OLD'	1	208	1	1	1
	104	104	1	'01001080'	'GRE_CHK_3A_CL'	1	208	1	1	1
	105	105	1	'01001081'	'ROC05_PRI_RTU'	1	208	1	1	1
	106	106	1	'01001082'	'ROC05_CHK_RTU'	1	208	1	1	1
	107	107	1	'01001083'	'ROC06_PRI_RTU'	1	208	1	1	1
	108	108	1	'01001084'	'ROC06_CHK_RTU'	1	208	1	1	1
	109	109	1	'01001085'	'UNI01_PRI_RTU'	1	208	1	1	1
	110	110	1	'01001086'	'UNI01_CHK_RTU'	1	208	1	1	1
	111	111	1	'01001087'	'UNI04_PRI_RTU'	1	208	1	1	1
	112	112	1	'01001088'	'UNI04_CHK_RTU'	1	208	1	1	1
	113	113	1	'01001089'	'UNI06_PRI_RTU'	1	208	1	1	1
	114	114	1	'01001090'	'UNI06_CHK_RTU'	1	208	1	1	1
	115	115	1	'01001091'	'WES01_PRI_RTU'	1	208	1	1	1
	116	116	1	'01001092'	'WES01_CHK_RTU'	1	208	1	1	1
	117	117	1	'01004002'	'KW_COMP_Status'	4	214	1	1	0
	118	118	1	'01004003'	'KW_A_Status'	4	214	1	1	0
	119	119	1	'01004004'	'KW_B_Status'	4	214	1	1	0
	120	120	1	'01004005'	'KW_C_Status'	4	214	1	1	0
	121	121	1	'01004006'	'KVAR_Status'	4	214	1	1	0
	122	122	1	'01004007'	'KVAR_A_Status'	4	214	1	1	0
	123	123	1	'01004008'	'KVAR_B_Status'	4	214	1	1	0
	124	124	1	'01004009'	'KVAR_C_Status'	4	214	1	1	0
	125	125	1	'01004010'	'V_Status'	4	214	1	1	0
	126	126	1	'01004011'	'V_A_Status'	4	214	1	1	0
	127	127	1	'01004012'	'V_B_Status'	4	214	1	1	0
	128	128	1	'01004013'	'V_C_Status'	4	214	1	1	0
	129	129	1	'01004014'	'A_Status'	4	214	1	1	0
	130	130	1	'01004015'	'A_A_Status'	4	214	1	1	0
	131	131	1	'01004016'	'A_B_Status'	4	214	1	1	0
	132	132	1	'01004017'	'A_C_Status'	4	214	1	1	0
	133	133	1	'01004018'	'PF_Status'	4	214	1	1	0
	134	134	1	'01004019'	'PF_A_Status'	4	214	1	1	0
	135	135	1	'01004020'	'PF_B_Status'	4	214	1	1	0
	136	136	1	'01004021'	'PF_C_Status'	4	214	1	1	0
	137	137	1	'01007002'	'KVAR_COMP_Status'	7	214	1	1	0
	138	138	1	'01007003'	'KW_Status'	7	214	1	1	0
	139	139	1	'01007004'	'FREQUENCY_Status'	7	214	1	1	0
	140	140	1	'01007005'	'A_N_Status'	7	214	1	1	0
	141	141	1	'01008002'	'KVAR_COMP_Status'	8	214	1	1	0
	142	142	1	'01008003'	'KW_Status'	8	214	1	1	0
	143	143	1	'01008004'	'FREQUENCY_Status'	8	214	1	1	0
	144	144	1	'01008005'	'A_N_Status'	8	214	1	1	0
	145	145	1	'01005001'	'KW_COMP_Status'	5	214	1	1	0
	146	146	1	'01005002'	'KW_A_Status'	5	214	1	1	0
	147	147	1	'01005003'	'KW_B_Status'	5	214	1	1	0
	148	148	1	'01005004'	'KW_C_Status'	5	214	1	1	0
	149	149	1	'01005005'	'KVAR_Status'	5	214	1	1	0
	150	150	1	'01005006'	'KVAR_A_Status'	5	214	1	1	0
	151	151	1	'01005007'	'KVAR_B_Status'	5	214	1	1	0
	152	152	1	'01005008'	'KVAR_C_Status'	5	214	1	1	0
	153	153	1	'01005009'	'V_Status'	5	214	1	1	0
	154	154	1	'01005010'	'V_A_Status'	5	214	1	1	0
	155	155	1	'01005011'	'V_B_Status'	5	214	1	1	0
	156	156	1	'01005012'	'V_C_Status'	5	214	1	1	0
	157	157	1	'01005013'	'A_Status'	5	214	1	1	0
	158	158	1	'01005014'	'A_A_Status'	5	214	1	1	0
	159	159	1	'01005015'	'A_B_Status'	5	214	1	1	0
	160	160	1	'01005016'	'A_C_Status'	5	214	1	1	0
	161	161	1	'01005017'	'PF_Status'	5	214	1	1	0
	162	162	1	'01005018'	'PF_A_Status'	5	214	1	1	0
	163	163	1	'01005019'	'PF_B_Status'	5	214	1	1	0
	164	164	1	'01005020'	'PF_C_Status'	5	214	1	1	0
	165	165	1	'01010001'	'A_N_Status'	10	214	1	1	0
	166	166	1	'01010002'	'FREQUENCY_Status'	10	214	1	1	0
	167	167	1	'01010003'	'KVAR_COMP_Status'	10	214	1	1	0
	168	168	1	'01010004'	'KW_Status'	10	214	1	1	0
	169	169	1	'01009001'	'A_N_Status'	9	214	1	1	0
	170	170	1	'01009002'	'FREQUENCY_Status'	9	214	1	1	0
	171	171	1	'01009003'	'KVAR_COMP_Status'	9	214	1	1	0
	172	172	1	'01009004'	'KW_Status'	9	214	1	1	0
	173	173	1	'01001093'	'EAS04B_PRI_RTU'	1	208	1	1	1
	174	174	1	'01001094'	'EAS04B_CHK_RTU'	1	208	1	1	1
	175	175	1	'01006001'	'KW_COMP_Status'	6	214	1	1	0
	176	176	1	'01006002'	'KW_A_Status'	6	214	1	1	0
	177	177	1	'01006003'	'KW_B_Status'	6	214	1	1	0
	178	178	1	'01006004'	'KW_C_Status'	6	214	1	1	0
	179	179	1	'01006005'	'KVAR_Status'	6	214	1	1	0
	180	180	1	'01006006'	'KVAR_A_Status'	6	214	1	1	0
	181	181	1	'01006007'	'KVAR_B_Status'	6	214	1	1	0
	182	182	1	'01006008'	'KVAR_C_Status'	6	214	1	1	0
	183	183	1	'01006009'	'V_Status'	6	214	1	1	0
	184	184	1	'01006010'	'V_A_Status'	6	214	1	1	0
	185	185	1	'01006011'	'V_B_Status'	6	214	1	1	0
	186	186	1	'01006012'	'V_C_Status'	6	214	1	1	0
	187	187	1	'01006013'	'A_Status'	6	214	1	1	0
	188	188	1	'01006014'	'A_A_Status'	6	214	1	1	0
	189	189	1	'01006015'	'A_B_Status'	6	214	1	1	0
	190	190	1	'01006016'	'A_C_Status'	6	214	1	1	0
	191	191	1	'01006017'	'PF_Status'	6	214	1	1	0
	192	192	1	'01006018'	'PF_A_Status'	6	214	1	1	0
	193	193	1	'01006019'	'PF_B_Status'	6	214	1	1	0
	194	194	1	'01006020'	'PF_C_Status'	6	214	1	1	0
	195	195	1	'01011001'	'A_N_Status'	11	214	1	1	0
	196	196	1	'01011002'	'FREQUENCY_Status'	11	214	1	1	0
	197	197	1	'01011003'	'KVAR_COMP_Status'	11	214	1	1	0
	198	198	1	'01011004'	'KW_Status'	11	214	1	1	0
	199	199	1	'01013001'	'KW_Status'	13	214	1	1	0
	200	200	1	'01013002'	'KVAR_Status'	13	214	1	1	0
	201	201	1	'01013003'	'FREQUENCY_Status'	13	214	1	1	0
	202	202	1	'01014001'	'FREQUENCY_Status'	14	214	1	1	0
	203	203	1	'01007006'	'KW_COMP_Status'	7	214	1	1	0
	204	204	1	'01007007'	'KW_A_Status'	7	214	1	1	0
	205	205	1	'01007008'	'KW_B_Status'	7	214	1	1	0
	206	206	1	'01007009'	'KW_C_Status'	7	214	1	1	0
	207	207	1	'01007010'	'KVAR_Status'	7	214	1	1	0
	208	208	1	'01007011'	'KVAR_A_Status'	7	214	1	1	0
	209	209	1	'01007012'	'KVAR_B_Status'	7	214	1	1	0
	210	210	1	'01007013'	'KVAR_C_Status'	7	214	1	1	0
	211	211	1	'01007014'	'V_Status'	7	214	1	1	0
	212	212	1	'01007015'	'V_A_Status'	7	214	1	1	0
	213	213	1	'01007016'	'V_B_Status'	7	214	1	1	0
	214	214	1	'01007017'	'V_C_Status'	7	214	1	1	0
	215	215	1	'01007018'	'A_Status'	7	214	1	1	0
	216	216	1	'01007019'	'A_A_Status'	7	214	1	1	0
	217	217	1	'01007020'	'A_B_Status'	7	214	1	1	0
	218	218	1	'01007021'	'A_C_Status'	7	214	1	1	0
	219	219	1	'01007022'	'PF_Status'	7	214	1	1	0
	220	220	1	'01007023'	'PF_A_Status'	7	214	1	1	0
	221	221	1	'01007024'	'PF_B_Status'	7	214	1	1	0
	222	222	1	'01007025'	'PF_C_Status'	7	214	1	1	0
	223	223	1	'01015001'	'FREQUENCY_Status'	15	214	1	1	0
	224	224	1	'01013004'	'A_N_Status'	13	214	1	1	0
	225	225	1	'01014002'	'KVAR_COMP_Status'	14	214	1	1	0
	226	226	1	'01014003'	'A_N_Status'	14	214	1	1	0
	227	227	1	'01015002'	'KVAR_COMP_Status'	15	214	1	1	0
	228	228	1	'01015003'	'A_N_Status'	15	214	1	1	0
	229	229	1	'01022001'	'KVAR_COMP_Status'	22	214	1	1	0
	230	230	1	'01022002'	'FREQUENCY_Status'	22	214	1	1	0
	231	231	1	'01008006'	'KW_COMP_Status'	8	214	1	1	0
	232	232	1	'01008007'	'KW_A_Status'	8	214	1	1	0
	233	233	1	'01008008'	'KW_B_Status'	8	214	1	1	0
	234	234	1	'01008009'	'KW_C_Status'	8	214	1	1	0
	235	235	1	'01008010'	'KVAR_Status'	8	214	1	1	0
	236	236	1	'01008011'	'KVAR_A_Status'	8	214	1	1	0
	237	237	1	'01008012'	'KVAR_B_Status'	8	214	1	1	0
	238	238	1	'01008013'	'KVAR_C_Status'	8	214	1	1	0
	239	239	1	'01008014'	'V_Status'	8	214	1	1	0
	240	240	1	'01008015'	'V_A_Status'	8	214	1	1	0
	241	241	1	'01008016'	'V_B_Status'	8	214	1	1	0
	242	242	1	'01008017'	'V_C_Status'	8	214	1	1	0
	243	243	1	'01008018'	'A_Status'	8	214	1	1	0
	244	244	1	'01008019'	'A_A_Status'	8	214	1	1	0
	245	245	1	'01008020'	'A_B_Status'	8	214	1	1	0
	246	246	1	'01008021'	'A_C_Status'	8	214	1	1	0
	247	247	1	'01008022'	'PF_Status'	8	214	1	1	0
	248	248	1	'01008023'	'PF_A_Status'	8	214	1	1	0
	249	249	1	'01008024'	'PF_B_Status'	8	214	1	1	0
	250	250	1	'01008025'	'PF_C_Status'	8	214	1	1	0
	251	251	1	'01023001'	'FREQUENCY_Status'	23	214	1	1	0
	252	252	1	'01024001'	'FREQUENCY_Status'	24	214	1	1	0
	253	253	1	'01023002'	'KVAR_COMP_Status'	23	214	1	1	0
	254	254	1	'01024002'	'KVAR_COMP_Status'	24	214	1	1	0
	255	255	1	'01022003'	'A_N_Status'	22	214	1	1	0
	256	256	1	'01023003'	'A_N_Status'	23	214	1	1	0
	257	257	1	'01024003'	'A_N_Status'	24	214	1	1	0
	258	258	1	'01016001'	'KVAR_COMP_Status'	16	214	1	1	0
	259	259	1	'01009005'	'KW_COMP_Status'	9	214	1	1	0
	260	260	1	'01009006'	'KW_A_Status'	9	214	1	1	0
	261	261	1	'01009007'	'KW_B_Status'	9	214	1	1	0
	262	262	1	'01009008'	'KW_C_Status'	9	214	1	1	0
	263	263	1	'01009009'	'KVAR_Status'	9	214	1	1	0
	264	264	1	'01009010'	'KVAR_A_Status'	9	214	1	1	0
	265	265	1	'01009011'	'KVAR_B_Status'	9	214	1	1	0
	266	266	1	'01009012'	'KVAR_C_Status'	9	214	1	1	0
	267	267	1	'01009013'	'V_Status'	9	214	1	1	0
	268	268	1	'01009014'	'V_A_Status'	9	214	1	1	0
	269	269	1	'01009015'	'V_B_Status'	9	214	1	1	0
	270	270	1	'01009016'	'V_C_Status'	9	214	1	1	0
	271	271	1	'01009017'	'A_Status'	9	214	1	1	0
	272	272	1	'01009018'	'A_A_Status'	9	214	1	1	0
	273	273	1	'01009019'	'A_B_Status'	9	214	1	1	0
	274	274	1	'01009020'	'A_C_Status'	9	214	1	1	0
	275	275	1	'01009021'	'PF_Status'	9	214	1	1	0
	276	276	1	'01009022'	'PF_A_Status'	9	214	1	1	0
	277	277	1	'01009023'	'PF_B_Status'	9	214	1	1	0
	278	278	1	'01009024'	'PF_C_Status'	9	214	1	1	0
	279	279	1	'01017001'	'KVAR_COMP_Status'	17	214	1	1	0
	280	280	1	'01018001'	'KVAR_COMP_Status'	18	214	1	1	0
	281	281	1	'01019001'	'KVAR_COMP_Status'	19	214	1	1	0
	282	282	1	'01020001'	'KVAR_COMP_Status'	20	214	1	1	0
	283	283	1	'01021001'	'KVAR_COMP_Status'	21	214	1	1	0
	284	284	1	'01016002'	'FREQUENCY_Status'	16	214	1	1	0
	285	285	1	'01017002'	'FREQUENCY_Status'	17	214	1	1	0
	286	286	1	'01018002'	'FREQUENCY_Status'	18	214	1	1	0
	287	287	1	'01010005'	'KW_COMP_Status'	10	214	1	1	0
	288	288	1	'01010006'	'KW_A_Status'	10	214	1	1	0
	289	289	1	'01010007'	'KW_B_Status'	10	214	1	1	0
	290	290	1	'01010008'	'KW_C_Status'	10	214	1	1	0
	291	291	1	'01010009'	'KVAR_Status'	10	214	1	1	0
	292	292	1	'01010010'	'KVAR_A_Status'	10	214	1	1	0
	293	293	1	'01010011'	'KVAR_B_Status'	10	214	1	1	0
	294	294	1	'01010012'	'KVAR_C_Status'	10	214	1	1	0
	295	295	1	'01010013'	'V_Status'	10	214	1	1	0
	296	296	1	'01010014'	'V_A_Status'	10	214	1	1	0
	297	297	1	'01010015'	'V_B_Status'	10	214	1	1	0
	298	298	1	'01010016'	'V_C_Status'	10	214	1	1	0
	299	299	1	'01010017'	'A_Status'	10	214	1	1	0
	300	300	1	'01010018'	'A_A_Status'	10	214	1	1	0
	301	301	1	'01010019'	'A_B_Status'	10	214	1	1	0
	302	302	1	'01010020'	'A_C_Status'	10	214	1	1	0
	303	303	1	'01010021'	'PF_Status'	10	214	1	1	0
	304	304	1	'01010022'	'PF_A_Status'	10	214	1	1	0
	305	305	1	'01010023'	'PF_B_Status'	10	214	1	1	0
	306	306	1	'01010024'	'PF_C_Status'	10	214	1	1	0
	307	307	1	'01019002'	'FREQUENCY_Status'	19	214	1	1	0
	308	308	1	'01020002'	'FREQUENCY_Status'	20	214	1	1	0
	309	309	1	'01021002'	'FREQUENCY_Status'	21	214	1	1	0
	310	310	1	'01016003'	'A_N_Status'	16	214	1	1	0
	311	311	1	'01017003'	'A_N_Status'	17	214	1	1	0
	312	312	1	'01018003'	'A_N_Status'	18	214	1	1	0
	313	313	1	'01019003'	'A_N_Status'	19	214	1	1	0
	314	314	1	'01020003'	'A_N_Status'	20	214	1	1	0
	315	315	1	'01011005'	'KW_COMP_Status'	11	214	1	1	0
	316	316	1	'01011006'	'KW_A_Status'	11	214	1	1	0
	317	317	1	'01011007'	'KW_B_Status'	11	214	1	1	0
	318	318	1	'01011008'	'KW_C_Status'	11	214	1	1	0
	319	319	1	'01011009'	'KVAR_Status'	11	214	1	1	0
	320	320	1	'01011010'	'KVAR_A_Status'	11	214	1	1	0
	321	321	1	'01011011'	'KVAR_B_Status'	11	214	1	1	0
	322	322	1	'01011012'	'KVAR_C_Status'	11	214	1	1	0
	323	323	1	'01011013'	'V_Status'	11	214	1	1	0
	324	324	1	'01011014'	'V_A_Status'	11	214	1	1	0
	325	325	1	'01011015'	'V_B_Status'	11	214	1	1	0
	326	326	1	'01011016'	'V_C_Status'	11	214	1	1	0
	327	327	1	'01011017'	'A_Status'	11	214	1	1	0
	328	328	1	'01011018'	'A_A_Status'	11	214	1	1	0
	329	329	1	'01011019'	'A_B_Status'	11	214	1	1	0
	330	330	1	'01011020'	'A_C_Status'	11	214	1	1	0
	331	331	1	'01011021'	'PF_Status'	11	214	1	1	0
	332	332	1	'01011022'	'PF_A_Status'	11	214	1	1	0
	333	333	1	'01011023'	'PF_B_Status'	11	214	1	1	0
	334	334	1	'01011024'	'PF_C_Status'	11	214	1	1	0
	335	335	1	'01021003'	'A_N_Status'	21	214	1	1	0
	336	336	1	'01001095'	'SDG_CL'	1	208	1	1	1
	337	337	1	'01001096'	'SDG_RTU'	1	208	1	1	1
	338	338	1	'01028001'	'KW_COMP_Status'	28	214	1	1	0
	339	339	1	'01028002'	'FREQUENCY_Status'	28	214	1	1	0
	340	340	1	'01028003'	'A_N_Status'	28	214	1	1	0
	341	341	1	'01029001'	'FREQUENCY_Status'	29	214	1	1	0
	342	342	1	'01012001'	'A_N_Status'	12	214	1	1	0
	343	343	1	'01012002'	'KW_COMP_Status'	12	214	1	1	0
	344	344	1	'01012003'	'KW_A_Status'	12	214	1	1	0
	345	345	1	'01012004'	'KW_B_Status'	12	214	1	1	0
	346	346	1	'01012005'	'KW_C_Status'	12	214	1	1	0
	347	347	1	'01012006'	'KVAR_Status'	12	214	1	1	0
	348	348	1	'01012007'	'KVAR_A_Status'	12	214	1	1	0
	349	349	1	'01012008'	'KVAR_B_Status'	12	214	1	1	0
	350	350	1	'01012009'	'KVAR_C_Status'	12	214	1	1	0
	351	351	1	'01012010'	'V_Status'	12	214	1	1	0
	352	352	1	'01012011'	'V_A_Status'	12	214	1	1	0
	353	353	1	'01012012'	'V_B_Status'	12	214	1	1	0
	354	354	1	'01012013'	'V_C_Status'	12	214	1	1	0
	355	355	1	'01012014'	'A_Status'	12	214	1	1	0
	356	356	1	'01012015'	'A_A_Status'	12	214	1	1	0
	357	357	1	'01012016'	'A_B_Status'	12	214	1	1	0
	358	358	1	'01012017'	'A_C_Status'	12	214	1	1	0
	359	359	1	'01012018'	'PF_Status'	12	214	1	1	0
	360	360	1	'01012019'	'PF_A_Status'	12	214	1	1	0
	361	361	1	'01012020'	'PF_B_Status'	12	214	1	1	0
	362	362	1	'01012021'	'PF_C_Status'	12	214	1	1	0
	363	363	1	'01029002'	'KVAR_COMP_Status'	29	214	1	1	0
	364	364	1	'01030001'	'KVAR_COMP_Status'	30	214	1	1	0
	365	365	1	'01030002'	'FREQUENCY_Status'	30	214	1	1	0
	366	366	1	'01030003'	'A_N_Status'	30	214	1	1	0
	367	367	1	'01031001'	'KW_COMP_Status'	31	214	1	1	0
	368	368	1	'01031002'	'FREQUENCY_Status'	31	214	1	1	0
	369	369	1	'01031003'	'A_N_Status'	31	214	1	1	0
	370	370	1	'01032001'	'FREQUENCY_Status'	32	214	1	1	0
	371	371	1	'01013005'	'KW_COMP_Status'	13	214	1	1	0
	372	372	1	'01013006'	'KW_A_Status'	13	214	1	1	0
	373	373	1	'01013007'	'KW_B_Status'	13	214	1	1	0
	374	374	1	'01013008'	'KW_C_Status'	13	214	1	1	0
	375	375	1	'01013009'	'KVAR_COMP_Status'	13	214	1	1	0
	376	376	1	'01013010'	'KVAR_A_Status'	13	214	1	1	0
	377	377	1	'01013011'	'KVAR_B_Status'	13	214	1	1	0
	378	378	1	'01013012'	'KVAR_C_Status'	13	214	1	1	0
	379	379	1	'01013013'	'V_Status'	13	214	1	1	0
	380	380	1	'01013014'	'V_A_Status'	13	214	1	1	0
	381	381	1	'01013015'	'V_B_Status'	13	214	1	1	0
	382	382	1	'01013016'	'V_C_Status'	13	214	1	1	0
	383	383	1	'01013017'	'A_Status'	13	214	1	1	0
	384	384	1	'01013018'	'A_A_Status'	13	214	1	1	0
	385	385	1	'01013019'	'A_B_Status'	13	214	1	1	0
	386	386	1	'01013020'	'A_C_Status'	13	214	1	1	0
	387	387	1	'01013021'	'PF_Status'	13	214	1	1	0
	388	388	1	'01013022'	'PF_A_Status'	13	214	1	1	0
	389	389	1	'01013023'	'PF_B_Status'	13	214	1	1	0
	390	390	1	'01013024'	'PF_C_Status'	13	214	1	1	0
	391	391	1	'01032002'	'KVAR_COMP_Status'	32	214	1	1	0
	392	392	1	'01032003'	'A_N_Status'	32	214	1	1	0
	393	393	1	'01033001'	'FREQUENCY_Status'	33	214	1	1	0
	394	394	1	'01034001'	'FREQUENCY_Status'	34	214	1	1	0
	395	395	1	'01033002'	'A_N_Status'	33	214	1	1	0
	396	396	1	'01034002'	'A_N_Status'	34	214	1	1	0
	397	397	1	'01035001'	'A_N_Status'	35	214	1	1	0
	398	398	1	'01035002'	'FREQUENCY_Status'	35	214	1	1	0
