"PKey","Name","Desc","ProjectId","ProjectMap","Skeleton","System"
"129","*AllBlocked*","All alarms blocked","0","0","N2,',',N1,' ',D,"" ALL ALARMS BLOCKED""","1"
"179","*LOLOLO*","Analog Low Unreasonable  ","0","0","N2,',',N1,'  ',"" LO LO LO "",F8,X1,F8","1"
"180","*LOLO*  ","Analog Low Emergency     ","0","0","N2,',',N1,'  ',"" LO LO    "",F8,X1,F8","1"
"181","*LO*    ","Analog Low Pre-Emergency ","0","0","N2,',',N1,'  ',"" LO       "",F8.2,X1,F8","1"
"183","*HI*    ","Analog High Pre-Emergency","0","0","N2,',',N1,'  ',"" HI       "",F7.2,X1,F7.2","1"
"184","*HIHI*  ","Analog High Emergency    ","0","0","N2,',',N1,'  ',"" HI HI    "",F7.2,X1,F7.2","1"
"185","*HIHIHI*","Analog High Unreasonable ","0","0","N2,',',N1,'  ',"" HI HI HI "",F7.2,X1,F7.2","1"
"186","RTUFail","RTU Failure","0","0","N2,',',N1,' ',D,"" RTU FAILURE ""","1"
"187","CLFail","Comline Failure","0","0","N2,',',N1,' ',D,"" COMM LINE FAILURE""","1"
"188","*NoStby*","Standby unavailable","0","0","""STANDBY UNAVAILABLE""","1"
"189","*DisplayFail*","Display generator failure","0","0","""DISPLAY "",I2,"" FAILURE""","1"
"190","*A/DOVErr*","A/D overrange error","0","0","N2,',',N1,"" A/D OVERRANGE"",P,"" CURRENT VAL="",F8.2","1"
"191","*LOLOLO-M*","Analog Low Unreasonable Meter  ","0","0","N2,',',N1,'  ',"" LO LO LO "",F8,X1,F8,X1,F8","1"
"192","*LOLO-M*  ","Analog Low Emergency Meter     ","0","0","N2,',',N1,'  ',"" LO LO    "",F8,X1,F8,X1,F8","1"
"193","*LO-M*    ","Analog Low Pre-Emergency Meter ","0","0","N2,',',N1,'  ',"" LO       "",F8,X1,F8,X1,F8","1"
"195","*HI-M*    ","Analog High Pre-Emergency Meter","0","0","N2,',',N1,'  ',"" HI       "",F8,X1,F8,X1,F8","1"
"196","*HIHI-M*  ","Analog High Emergency Meter    ","0","0","N2,',',N1,'  ',"" HI HI    "",F8,X1,F8,X1,F8","1"
"197","*HIHIHI-M*","Analog High Unreasonable Meter ","0","0","N2,',',N1,'  ',"" HI HI HI "",F8,X1,F8,X1,F8","1"
"198","*A/DOVErr-M*","A/D overrange error meter    ","0","0","N2,',',N1,'  ',' A/D Overrange ',F8,X1,F8,X1,F8","1"
"208","*TelAdrConflict*","Telemetry Address Conflict","0","0","""Telemetry Address Conflict "",B","1"
"257","*OTSStartup*","OTS Mode Startup","0","0","'System started in OTS mode'","1"
"258","*Limit Matrix*","Limit Matrix Failed","0","0","N2,',',N1,' Limit Matrix: ',B","1"
"259","*Product*","Product not licensed","0","0","'Product ',B,' not licensed'","1"
"260","*NoZones*","No Zones for Alarm*","0","0","""NEW ALARM IN ZONE GROUP "", B,"". NO WORKSTATION LOGGED IN""","1"
"261","*ExtNameConflict","External Name Conflict","0","0","""External Name Conflict "",B","1"
"301","B40WithPoint","40 char string with point specif","0","0","N2,',',N1,' ',B40","1"
"302","*Sched alarm*","Scheduled Alarm","0","0","B","1"
"303","*SCS alarm*","SCS Alarm","0","0","B","1"
"304","*Process Failure","Process Failure","0","0","B","1"
"305","*Call Event*","Notification of new call event","0","0","""New external call events in Call Table (CallExec)""","1"
"306","*Meter Outage*","Notification of new meter outage","0","0","""New meter outage reports from AMI (MtrExec)""","1"
"307","*Meter Voltage*","Meter Voltage Sag/Swell Events","0","0","B","1"
"308","*Meter Other*","Other Meter Events","0","0","B,'308'","1"
"309","*MtrExec Version","Meter Exec Version Mismatch","0","0","B","1"
"310","*Call Nonmatchin","Notification of non-matching cal","0","0","B,"" non-matching outage report(s) received, see callexec log""","1"
"311","*Call Event*","Notification of new CSR call eve","0","0","""Received new calls from CSR""","1"
"312","*Import Failure*","OMS Import Failure","0","0","B","1"
"313","*Point with user","Point with user text","0","0","N2,',',N1,' ',B","1"
"314","*AGC Alarm*","General AGC Alarms and Events","0","0","B","1"
"315","*DMS Alarm*","General DMS Alarms and Events","0","0","B","1"
"316","*OMS Alarm*","General OMS Alarms and Events","0","0","B","1"
"317","*Anti-Chatter*","Anti-Chatter filter alarm","0","0","""Anti-Chatter filter applied to point "", N2,',',N1","1"
"318","*OneShotAlarm*","General char string","0","0","B","1"
"319","*UFLSAlarm*","General char string","0","0","B","1"
"320","*PDSStartup*","PDS Mode Startup","0","0","""PDS startup - Scantasks and DEServers will not autostart""","1"
"321","*Call Analysis*","Notification of automatic call a","0","0","""Automatic call analysis has created/escalated predicted case(s)""","1"
"500","*OutstndEmergCal","Outstanding emergency call(s)","0","0","""Outstanding emergency call(s).  Please respond.""","1"
"501","*OutstandOutCall","Outstanding outage call(s)","0","0","""Outstanding outage call(s).  Please respond.""","1"
"502","*ReceivedCSRCall","Received CSR call updates","0","0","""Received CSR call updates""","1"
"503","*OMSTableFull*","OMSTable full message","0","0","B,""file 80 percent full""","1"
"504","*SchedWorkOvrdue","Scheduled work completion overdu","0","0","""Case "", F10.0, "" Work Item "", F10.0, "": Scheduled work completion overdue.""","1"
"505","*ETORExceedCase*","ETOR Exceeded for case","0","0","""ETOR exceded for Case "",B","1"
"506","*UnAttendOpAlert","Unattended Operational Alert","0","0","""UnAttended OperationalAlert "", F10.0, ""exceeded, AgeLimit "", F5.0","1"
"507","*FailSndEmailGrp","Failed sending email to group","0","0","""Failed to send email to group "",B","1"
"508","*FailFndRecInQue","Failed finding available record ","0","0","""NotMgr Failed to find available record in "",B ","1"
"509","*ETORApprochCase","ETOR Approaching for case","0","0","""ETOR approaching for Case "",B","1"
