"PKEY","SECTION","NAME","VALUE","TYPE","DESC"
"171","Oms","AttachPath","","67","OMS Attachments Directory"
"172","Oms","CallRefNo","0","85","Last call record reference number used"
"173","Oms","TicketSerial","0","85","Last ticket serial number used"
"174","SCS","TempDevVer2","0","85","Enables enhanced cuts and jumpers"
"175","SCS","TempDevTable","0","85","Specifies which table to use 0=TemporaryDevices 1=TemporaryDevices2"
"176","System","SystemOptions","0","85",""
"177","Alarms","RemUsePersonnelTable","1","85","Use Personnel Table"
"178","Alarms","RemShowAdditionalInfo","1","85","Show additional Info"
"179","Alarms","RemDefAlarmTimeUnit","H","67","Default Unit of Alarm Time (Hours,Min)"
"180","Alarms","RemDefZoneGroup","0","85","Default Zone Group"
"181","Alarms","RemDefAlarmPriority","1","85","Default Alarm Priority"
"182","Tag","DisableGroupTag","0","85","Disable Group Tags (true/false)"
"183","Worldview","DistroPath","","67","SmartVU PDS Distribution Directory"
"184","Worldview","MultiMap","0","85","Multiple reservations enabled(true/false)"
"185","Oms","ImportFailureAlarmPid","0","80","Import Failure alarm status point"
"186","Oms","PlannedCustOutPid","0","80","Statistic point - number of customers currently out due to planned outages"
"187","Oms","UnplannedCustOutPid","0","80","Statistic point - number of customers currently out due to unplanned outages"
"188","Oms","ResetMeter","0","85","Allow reset of meters to Power On for cases and AMI event records"
"189","Oms","OutEmergCallAlmPri","3","85","Outstanding emergency call alarm priority"
"190","Oms","OutEmergCallAlmInterval","30","85","Outstanding emergency call alarm monitoring interval"
"191","Oms","XfrmrAgeLimit","0","85","Transformer age limit(in years) used to colour transformer label if age is less than limit"
"192","Oms","CustomerHours","0","85","Display Customer Hours"
"193","Oms","CurrMonth","0","85","Current month is"
"194","Oms","CurrMonth_StartCustCnt","0","85","Customer count at the start of the current month"
"195","Oms","ServiceLookupAuto","0","85","Enables automatically bringing up the service location lookup on new call records"
"196","Oms","ServiceLookupFocusField","2","85","Specifies the default field for service location lookup, we we set focus"
"197","Oms","OutstandingPingCount","0","85","Maximum outstanding pings per meter"
"198","Oms","VoltageAlarmPriority","3","85","Voltage alarm priority"
"199","Oms","OtherAlarmPriority","3","85","Other alarm priority"
"200","Oms","OutageMaxRespTime","60","85","Maximum acceptable response time for outages"
"201","Oms","EmergMaxRespTime","60","85","Maximum acceptable response time for emergencies"
"202","Oms","Regionalization","0","85","Enables Regionalization in OMS"
"203","Oms","AutoVfySnglCustOut","0","85","Enables auto-verification of single customer outages"
"204","Oms","DisAutoProposeTXifOnlyAMI","0","85","Disable auto-creation of proposed TX outage if only AMI events contributed"
"205","Oms","ExternalCallQuietTime","60","85","External call count reset if no new calls after specified quite period (mins)"
"206","Ufls","UflsMonitorInterval","15","85","UF load shed monitoring interval (sec)"
"207","Ufls","UflsAggregateInterval","5","85","UF load shed aggregating interval (sec)"
"208","Historian","Host1Ip","","67","Historian Host 1 IP Address"
"209","Historian","Host1Port","23636","85","Historian Host 1 Port"
"210","Historian","Host2Ip","","67","Historian Host 2 IP Address"
"211","Historian","Host2Port","23636","85","Historian Host 2 Port"
"212","Historian","Host3Ip","","67","Historian Host 3 IP Address"
"213","Historian","Host3Port","23636","85","Historian Host 3 Port"
"214","Historian","Host4Ip","","67","Historian Host 4 IP Address"
"215","Historian","Host4Port","23636","85","Historian Host 4 Port"
"216","Historian","StatusPid","0","80","Historian Status Point"
"217","Historian","Logging","0","85","Historian Logging"
"218","Historian","Type","0","85","Historian Type"
"219","Pds","IsPrd","0","85",""
"220","Pds","PdsHost1","","67",""
"221","Pds","PdsHost2","","67",""
"222","Pds","PdsHost3","","67",""
"223","Pds","PdsHost4","","67",""
"224","Pds","PdsHost5","","67",""
"225","Pds","PdsHost6","","67",""
"226","Pds","PdsHost7","","67",""
"227","Pds","PdsHost8","","67",""
"228","Pds","PrdHost1","","67",""
"229","Pds","PrdHost2","","67",""
"230","Pds","PrdHost3","","67",""
"231","Pds","PrdHost4","","67",""
"232","Pds","PrdHost5","","67",""
"233","Pds","PrdHost6","","67",""
"234","Pds","PrdHost7","","67",""
"235","Pds","PrdHost8","","67",""
"236","QTLogs","AnaLogEnabled","1","85","QTLogs enabled for Analog points (true/false)"
"237","QTLogs","StsLogEnabled","0","85","QTLogs enabled for Status points (true/false)"
"238","QTLogs","MaxLogHours","12","85","Minimum retention period (hours) for QTLogs"
"239","QTLogs","MaxLogMB","20","85","Maximum disk space (MB) reserved for for QTLogs"
"240","Guarantees","DefaultTagNoIsZero","0","85","Default tag number for guarantees is zero"
"241","SwitchOrders","ExecOrderRequired","0","85","Enforce sequence execution order"
"242","SwitchOrders","ExecOrderWarning","0","85","Display warning if sequences are executed out of order"
"243","SwitchOrders","ExecConfirmation","0","85","Display confirmation message on seqeunce execution"
"244","SwitchOrders","PC17APrintFormat","0","85","Use the PC17A form when printing OTOs/Restorations"
"245","SwitchOrders","OrderByManditory","0","85","Ordered By is mandatory for sequence execution"
"246","SwitchOrders","DefaultTagNoIsZero","0","85","Default tag number for switch orders is zero"
"247","RepSched","SendEmptyReport","1","85",""
"248","Oms","TwtPreambleCancel","","67","Include this preamble in tweets/emails (cancelled case)"
"249","Oms","TwtPreambleBlink","","67","Include this preamble in tweets/emails (momentary case)"
"250","Oms","TwtAutoBlink","0","85","Automatically send tweet/email when converted to momentary"
"251","Oms","TwtCustThresh","1","85","Automatically send tweet/email if customer count exceeds threshold"
"252","Oms","ReasonForCancelReq","0","85","Specifies that a reason is required for cancelled cases"
"253","Oms","MBMode","0","85","Block by"
"254","Oms","AreaCodes","","67","Area codes"
"255","Oms","PhoneLookupTable","0","85","Use phone lookup tables in memory"
"256","Oms","NotifyAreaType","0","85","Notify with no Area (0), with Subdivision/District (1), Only Subdivision (2), Only District (3)"
"257","Oms","EmSvId","0","85","SMTP Server definition record to use"
"258","Oms","EmFreeTxt","1","85","Allow free-form text in email Message text (otherwise restricted to predefined text)"
"259","Oms","JobsModelNew","0","85","Enables initialization of a new job record based on the last new job record"
"260","Oms","ExclMeterNoMeterNum","0","85","Excludes from customer affected and total customer counts meters without meter numbers"
"261","Oms","ExclMeterNoCustomer","0","85","Excludes from customer affected and total customer counts meters without a customer"
"262","Oms","EmFailureAlarmPriority","3","85","Email Failure alarm priority"
"263","Oms","EmFailureAlarmPid","0","80","Email Failure alarm status point"
"264","Oms","EmFailureAlarmEnabled","0","85","Email Failure alarm enabled flag"
"265","Oms","EmBdPortal","0","85","Email Body's URL is an Outage Portal (supports Case parameter)"
"266","Oms","StakeholdersEmailDisabled","0","85","Disables Stakeholder's Email"
"267","System","CheckPointZonesMatch","0","85","Check if Point Zones match User Zones"
"268","Alarms","AutoArchiveEnabled","0","85","Enable Auto-archive of alarms"
"269","Alarms","ArchiveRepositoryPath","","67","Path to alarm archive repository"
"270","Alarms","ServerName","","67","Server Name when saving to archive repository"
"271","Events","AutoArchiveEnabled","0","85","Enable Auto-archive of events"
"272","Events","ArchiveRepositoryPath","","67","Path to event archive repository"
"273","Events","Bookmark","0","85","Event Bookmark"
"274","Tag","EnableTagDialogRefresh","0","85","Enables refresh of tag list in tag dialog (true/false)"
"275","SwitchOrders","AutomatedExecutionEnabled","0","85","Enables the use of automated order/restoration execution"
"276","SwitchOrders","DelayBetweenAutoSteps","2","85","Specifies the delay in seconds between automatically executed steps"
"277","LoadManagement","TxOffset","0","85","Load Management (PFC) hourly offset (sec)"
"278","Worldview","OSMtilesPath","C:\OSMtiles","67","SmartVU OpenStreetMap tiles path (or URL)"
"279","Oms","ScadaVerifyAgeLimit","24","85","Age limit for SCADA to use an existing planned case for a new outage"
"280","Oms","AuditSerNo","0","85","Last oms audit record serial number"
"281","Oms","CallHandlingThreadCount","1","85","Number of threads used in Callexec to process new calls"
"282","Oms","ETORApproachingTime","0","85","ETOR approaching time limit"
"283","Oms","ETORApproachingPriority","3","85","ETOR approaching alarm priority"
"284","Oms","EmLink","","67","Include this Portal URL in email"
"285","Oms","ResponseTimeManualEditing","0","85","Enables manual editing of response times"
"286","Oms","EmFormatDefPath","","67","Email Format Definition Directory"
"287","Oms","CallAnalysisAlarmEnabled","0","85","Enables alarming of call analysis that result in new or escalated predicted cases"
"288","Oms","AffectedAreaEnabled","0","85","Enables affected area (subdiv/districts) to be determined and save in the case record"
"289","Oms","CaseProbLocDevMandatory","0","85","Specifies that a problem location device in the case record is mandatory"
"290","Oms","WmsSimulateSuccess","0","85","Simulates successful responses from WMS system"
"291","Oms","OmsGeneralAlarmPid","0","80","Status point used when raising OMS alarms"
"292","Oms","OmsPlannedCaseTypes","0","85","Specifies the supported planned case types"
"293","Oms","OmsEditTimer","0","85","Specifies the maximum time in minutes for an OMS edit session"
"294","Oms","PublicAttachPath","","67","OMS Public Attachments Directory"
"295","Oms","ReliabilityCalcType","1","85","Specifies the supported type(s) of reliability indices"
"296","Tstat","IgnoreTravelError","0","85","Ignore status travel and error (true/false)"
"297","Tag","EnableTagChangeForwarding","0","85","Enables forwarding of tag changes (true/false)"
"298","Worldview","DisplayLockedLayers","0","85","Display locked layers in the 'Layer Visibility' dialog (true/false)"
"299","Oms","CrewSchedNotStarted","0F0E68C","85","Specifies RGB color value for NotStarted jobstatus"
"300","Oms","CrewSchedInProgress","032CD32","85","Specifies RGB color value for InProgress jobstatus"
"301","Oms","CrewSchedCompleted","06A5ACD","85","Specifies RGB color value for Completed jobstatus"
"302","Oms","CrewSchedNumOfDaysToDisplay","0","68","Specifies the NumberofDays to display when crewscheduler open"
"303","Oms","CregEnabled","0","85","Flag to indicate whether or not CREG is enabled on the system"
"304","Oms","MaxIssuesPerCall","0","85","Specifies the maximum number of issues allowed on a call record"
"305","Oms","VendorID","","67","A string that specifies the Vendor ID"
"306","Oms","MarketID","","67","A string that specifies the Market ID"
"307","Oms","CregRepository","","67","Location for CREG reports"
"308","Oms","InternalRepository","","67","Location for internal reports"
"309","Oms","CallClaimAgeLimit","","85","Call claiming age limit"
"310","Oms","PredictedCaseAgeLimit","","85","Predicted case age limit for claiming calls"
"311","Oms","CallIssueLimit","12","85","Issue limit on an individual call record"
"312","Oms","CrewNotifyAllMembers","0","85","Flag to indicate that all crew members receive SMS notifications"
"313","SCS","UpdatePntDescScsPublish","0","85","If set, update point description on SCS publish"
"314","System","RTCAFilePath","","0","Input File Path for RTCA"
"315","Oms","EventRollover","999999999","0","Roll-over value for ERP Event ID"
"316","ScsPmacro","Feeder_Main","","0","Pmacro for Schematic"
"317","ScsPmacro","Tie_Switch","","0","Pmacro for Schematic"
"318","ScsPmacro","Tie_Breaker","","0","Pmacro for Schematic"
"319","ScsPmacro","Switch","","0","Pmacro for Schematic"
"320","ScsPmacro","Breaker","","0","Pmacro for Schematic"
"321","ScsPmacro","Regulator","","0","Pmacro for Schematic"
"322","ScsPmacro","Stepdown_Transformer","","0","Pmacro for Schematic"
"323","SwitchOrders","PC17AHideNotes","0","0","Hide Notes in the Footer Section"
"324","Reports","EnableDSTIndication","0","0","Flag to specify whether a DST rule indication is displayed in report"
"325","Reports","DSTIndicator","","0","String to display in reports if currently in daylight saving time"
"326","Reports","STDIndicator","","0","String to display in reports if currently in standard time"
"327","ScsPmacro","Substation_Transformer","","0","Pmacro for Schematic"
"328","Oms","MBLastCount","0","0","Last MBCount used by MtrExec"
"329","Oms","MBLastProx","0.0","0","Last MBProximity used by MtrExec"
"330","SCS","LVNetworkEnabled","0","0","Specifies that this system has LV networks enabled"
"331","QTLogs","QtLogsFolderPath","","0","Alternative path to a shared QtLogs folder"
"332","SwitchOrders","ApparatusDisplayOpt","0","0","T=HZ;580000006400000015CAB10D80300C05D155FE001440894441C3024C6062232C85C48A4DC1F640794FB799243D541C710A98821015AC6E991E68C162468DE276A49AEFAB6055C98C093D66B0786A6AA1B574183E20E626EE1DC62FF61AE7BFBC"
"333","Reports","TimZone","","0","Local Time Zone"
"334","Reports","TimDst","","0","Enable DST?"
